image_name,timestamp,latitude,longitude,altitude,relative_alt,x_m,y_m,z_m
img_0000.jpg,2025-07-16 21:11:40,38.6344281,-90.227515,154.69000244140625,2.576000213623047,-0.5396291613578796,-1.924878716468811,0.6250317692756653
img_0001.jpg,2025-07-16 21:11:42,38.634425199999995,-90.22748589999999,155.0590057373047,2.945000171661377,-0.8757586479187012,0.7347310185432434,0.25295475125312805
img_0002.jpg,2025-07-16 21:11:44,38.634417299999996,-90.22742029999999,155.7530059814453,3.639000177383423,-1.8740233182907104,6.674241065979004,-0.48037075996398926
img_0003.jpg,2025-07-16 21:11:46,38.6344187,-90.2273921,155.739013671875,3.625000238418579,-1.401742935180664,8.871699333190918,-0.41378962993621826
img_0004.jpg,2025-07-16 21:11:47,38.6344332,-90.22738319999999,155.69200134277344,3.578000068664551,0.22305002808570862,9.64865493774414,-0.3771785795688629
img_0005.jpg,2025-07-16 21:11:49,38.6344439,-90.2273657,155.73001098632812,3.616000175476074,1.3014512062072754,11.272982597351074,-0.4262227714061737
img_0006.jpg,2025-07-16 21:11:51,38.634447,-90.22734419999999,155.76100158691406,3.6470000743865967,1.5506908893585205,13.149813652038574,-0.4338124096393585
img_0007.jpg,2025-07-16 21:11:53,38.6344439,-90.22732239999999,155.8310089111328,3.7170002460479736,1.1545754671096802,15.03882884979248,-0.5084182620048523
img_0008.jpg,2025-07-16 21:11:55,38.6344369,-90.22730279999999,155.8310089111328,3.7170002460479736,0.289762943983078,16.682100296020508,-0.5219905972480774
img_0009.jpg,2025-07-16 21:11:57,38.6344235,-90.2272905,155.79800415039062,3.68500018119812,-1.255847454071045,17.65036392211914,-0.4784795641899109
img_0010.jpg,2025-07-16 21:11:59,38.6344072,-90.22728359999999,155.79400634765625,3.680000066757202,-3.1062326431274414,18.209299087524414,-0.44394224882125854
img_0011.jpg,2025-07-16 21:12:01,38.634389399999996,-90.2272842,155.7410125732422,3.627000093460083,-5.046964645385742,18.092432022094727,-0.3915695548057556
img_0012.jpg,2025-07-16 21:12:03,38.634374099999995,-90.2272942,155.8310089111328,3.7170002460479736,-6.705906391143799,17.09833526611328,-0.5106151700019836
img_0013.jpg,2025-07-16 21:12:05,38.634364399999995,-90.2273088,155.7790069580078,3.6660001277923584,-7.711573123931885,15.798543930053711,-0.4482104182243347
img_0014.jpg,2025-07-16 21:12:07,38.634358999999996,-90.227328,155.81201171875,3.698000192642212,-8.247869491577148,14.108942031860352,-0.5038616061210632
img_0015.jpg,2025-07-16 21:12:09,38.6343588,-90.2273486,155.75401306152344,3.641000270843506,-8.20862865447998,12.293286323547363,-0.41947153210639954
img_0016.jpg,2025-07-16 21:12:10,38.634364,-90.2273702,155.7530059814453,3.639000177383423,-7.54074239730835,10.44255256652832,-0.4421722888946533
img_0017.jpg,2025-07-16 21:12:12,38.6343763,-90.22738749999999,155.81700134277344,3.704000234603882,-6.092581748962402,9.007336616516113,-0.49018070101737976
img_0018.jpg,2025-07-16 21:12:14,38.634392,-90.22739659999999,155.89700317382812,3.7830002307891846,-4.334381580352783,8.307168006896973,-0.5772639513015747
img_0019.jpg,2025-07-16 21:12:16,38.6344095,-90.2273958,155.9860076904297,3.872000217437744,-2.3674886226654053,8.47965145111084,-0.6933720111846924
img_0020.jpg,2025-07-16 21:12:18,38.634426399999995,-90.2273882,155.99200439453125,3.878000259399414,-0.5157519578933716,9.217446327209473,-0.651893675327301
img_0021.jpg,2025-07-16 21:12:20,38.6344395,-90.2273708,155.76600646972656,3.6520001888275146,0.8396043181419373,10.83398151397705,-0.417328804731369
img_0022.jpg,2025-07-16 21:12:22,38.6344448,-90.2273494,155.59500122070312,3.4810001850128174,1.3383935689926147,12.671255111694336,-0.26431402564048767
img_0023.jpg,2025-07-16 21:12:24,38.6344451,-90.2273302,155.69000244140625,3.576000213623047,1.3341671228408813,14.352537155151367,-0.3889917731285095
img_0024.jpg,2025-07-16 21:12:26,38.6344402,-90.2273108,155.70700073242188,3.5940001010894775,0.6748868227005005,15.984562873840332,-0.4006856083869934
img_0025.jpg,2025-07-16 21:12:28,38.634428799999995,-90.2272952,155.8920135498047,3.7790002822875977,-0.6180946826934814,17.311342239379883,-0.5957790017127991
img_0026.jpg,2025-07-16 21:12:30,38.6344134,-90.22728459999999,156.12200927734375,4.009000301361084,-2.4010467529296875,18.129467010498047,-0.7878332138061523
img_0027.jpg,2025-07-16 21:12:32,38.6343965,-90.2272828,155.94900512695312,3.8360002040863037,-4.271148204803467,18.21028709411621,-0.6012545824050903
img_0028.jpg,2025-07-16 21:12:33,38.6343823,-90.22728939999999,155.7840118408203,3.6700000762939453,-5.814105033874512,17.569631576538086,-0.43576765060424805
img_0029.jpg,2025-07-16 21:12:35,38.6343685,-90.2273025,155.74301147460938,3.629000186920166,-7.334558486938477,16.34054946899414,-0.42772918939590454
img_0030.jpg,2025-07-16 21:12:37,38.6343591,-90.22732219999999,155.81201171875,3.698000192642212,-8.297184944152832,14.606128692626953,-0.46336546540260315
img_0031.jpg,2025-07-16 21:12:39,38.634356,-90.2273438,155.69100952148438,3.577000141143799,-8.538715362548828,12.702178955078125,-0.3768884241580963
